gc 1 @0.013s 2%: 0.022+0.75+0.21 ms clock, 0.089+0.12/0.51/0.94+0.85 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 2 @0.019s 3%: 0.031+0.49+0.004 ms clock, 0.12+0.42/0.39/0.64+0.017 ms cpu, 101->101->101 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 3 @9.412s 0%: 0.31+1.1+0.005 ms clock, 1.2+1.0/0.66/0+0.023 ms cpu, 182->192->121 MB, 203 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 4 @9.449s 0%: 0.45+3.9+0.024 ms clock, 1.8+1.4/2.5/0+0.096 ms cpu, 212->242->152 MB, 243 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 5 @9.467s 0%: 0.93+4.4+0.042 ms clock, 3.7+1.7/3.5/0.031+0.17 ms cpu, 262->312->152 MB, 304 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 6 @9.477s 0%: 0.21+2.7+0.72 ms clock, 0.86+0.94/2.0/0+2.9 ms cpu, 262->302->162 MB, 304 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 7 @9.493s 0%: 0.54+6.8+0.30 ms clock, 2.1+0.92/3.2/0+1.2 ms cpu, 282->312->172 MB, 324 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 8 @9.511s 0%: 0.66+2.7+0.049 ms clock, 2.6+1.1/1.3/0+0.19 ms cpu, 302->362->192 MB, 344 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 9 @9.521s 0%: 0.18+2.2+0.003 ms clock, 0.72+0.35/2.1/1.2+0.015 ms cpu, 332->332->122 MB, 385 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 10 @10.439s 0%: 0.22+5.2+0.005 ms clock, 0.90+0.23/2.3/0.007+0.020 ms cpu, 212->242->162 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 11 @10.463s 0%: 0.55+1.9+0.17 ms clock, 2.2+1.2/1.2/0.61+0.69 ms cpu, 292->322->132 MB, 325 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 12 @10.477s 0%: 0.19+1.6+0.061 ms clock, 0.79+1.2/1.3/0+0.24 ms cpu, 252->262->122 MB, 265 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 13 @10.486s 0%: 0.11+3.2+0.055 ms clock, 0.47+0.84/3.0/0.41+0.22 ms cpu, 212->242->142 MB, 245 MB goal, 0 MB stacks, 0 MB globals, 4 P
